Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
TRIGA Mark III;Mexico;La Marquesa Ocoyoacac;TRIGA MARK III;1000;OPERATIONAL;1968-11-08T00:00:00
SUR-100 UNAM;Mexico;Mexico City;HOMOG (S);0;DECOMMISSIONED;1972-09-22T00:00:00
SRR Salaspils Research Reactor;Latvia;Salaspils;POOL;5000;UNDER DECOMMISSIONING;1961-09-26T00:00:00
RKS-25;Latvia;Salaspils;POOL;0.025;PERMANENT SHUTDOWN;1966-09-15T00:00:00
RA;Kazakhstan;Kurchatov;TANK;500;PERMANENT SHUTDOWN;1987-01-01T00:00:00
KRR-2;Korea, Republic of;Seoul;TRIGA MARK III;2000;DECOMMISSIONED;1972-04-10T00:00:00
KRR-1;Korea, Republic of;Seoul;TRIGA MARK II;250;DECOMMISSIONED;1962-03-19T00:00:00
JRR-3;Japan;Tokai-Mura;HEAVY WATER;10000;DECOMMISSIONED;1962-01-01T00:00:00
NSRR;Japan;Tokai;TRIGA ACPR;300;OPERATIONAL;1975-06-30T00:00:00
YAYOI;Japan;Tokyo;FAST SOURCE;2;UNDER DECOMMISSIONING;1971-04-10T00:00:00
DCA;Japan;Tokyo;CRIT ASSEMBLY;1;UNDER DECOMMISSIONING;1969-12-28T00:00:00
JMTRC;Japan;NA;POOL;0.1;DECOMMISSIONED;1965-10-01T00:00:00
Musashi Reactor;Japan;Tokyo;TRIGA MARK II;100;UNDER DECOMMISSIONING;1963-01-30T00:00:00
JRR-3M;Japan;Tokai;POOL;20000;OPERATIONAL;1990-03-22T00:00:00
TTR;Japan;Tokyo;POOL;100;UNDER DECOMMISSIONING;1962-03-13T00:00:00
HTR;Japan;Tokyo;POOL;100;UNDER DECOMMISSIONING;1961-12-25T00:00:00
TRIGA-II Rikkyo;Japan;Yokosuka;TRIGA MARK II;100;UNDER DECOMMISSIONING;1961-12-08T00:00:00
UTR KINKI;Japan;Osaka;ARGONAUT;0.001;OPERATIONAL;1961-11-11T00:00:00
JRR-2;Japan;Tokai-Mura;TANK;10000;UNDER DECOMMISSIONING;1960-10-01T00:00:00
VHTRC;Japan;Tokai;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1985-05-13T00:00:00
SM-1 Subcritical Assembly;Italy;Pavia;SUBCRIT;0;OPERATIONAL;1961-01-01T00:00:00
ROSPO 2;Italy;Rome;POOL;0.2;DECOMMISSIONED;1963-01-01T00:00:00
Struttura Sottocritica;Italy;Padua;SUBCRIT;0;DECOMMISSIONED;1962-01-01T00:00:00
L-54M;Italy;Milan;HOMOG (L);50;UNDER DECOMMISSIONING;1959-11-20T00:00:00
RB-2;Italy;Bologna;ARGONAUT;10;DECOMMISSIONED;1963-05-28T00:00:00
AGN-201 Costanza;Italy;Palermo;HOMOG (S);0.02;OPERATIONAL;1960-02-12T00:00:00
RITMO Reactor (RC-4);Italy;Rome;POOL;0.01;DECOMMISSIONED;1965-07-08T00:00:00
Galileo Galilei RTS-1;Italy;Pisa;POOL;5000;DECOMMISSIONED;1963-04-04T00:00:00
RB-1;Italy;Bologna;CRIT GRAPHITE;20;DECOMMISSIONED;1962-07-01T00:00:00
Avogadro RS-1;Italy;Saluggia;POOL, MTR;5000;DECOMMISSIONED;1959-09-10T00:00:00
KAMINI;India;Kalpakkam;U-233 FUELLED;30;OPERATIONAL;1996-10-29T00:00:00
FBTR;India;Kalpakkam;FAST BREEDER;40000;OPERATIONAL;1985-10-18T00:00:00
PURNIMA-II;India;Mumbai;HOMOG (L);0.005;DECOMMISSIONED;1984-05-10T00:00:00
PURNIMA;India;Mumbai;FAST;0;DECOMMISSIONED;1972-05-01T00:00:00
ZERLINA;India;Kalpakkam;TANK;0.1;DECOMMISSIONED;1961-01-01T00:00:00
Dounreay Zero Energy ZETR;United Kingdom;Thurso;CRIT ASSEMBLY;0;DECOMMISSIONED;1957-08-13T00:00:00
ERIC;United Kingdom;Aldermaston;CRIT FAST;0;DECOMMISSIONED;1952-01-01T00:00:00
